|*|,|BATCH NO#  |,|Publish Date&Time|,|Product Family Category|,|BKPL Time|,|RTP Time|,|Sales order|,|Sales order item|,|Product|,|Product Description|,|Product PL|,|Product QTY|,|Technology|,|BPO|,|PLO|,|Material Part No|,|Material Description|,|Material Category|,|Ctrl ID|,|Sales area|,|Shortage QTY|,|Quantity Required|,|Quantity Revised|,|Remarked By WH|,|VMI Unrestricted QTY|,|HOI Main Storage Type QTY|,|311-CD|,|311-CE|,|311-CG|,|311-CP|,|311-PA|,|311-PD|,|BPO# Urgent 1|,|BPO# Urgent 2|,|BPO# Build|,|BPO# Kitting|,|BPO# Option|,|PLO# Urgent 1|,|PLO# Urgent 2|,|PLO# Build|,|PLO# Kitting|,|PLO# Option|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:12|,|2017-05-09 00:17|,|7700485182|,|10|,|N9Y15A|,|H3C CF8820 2N Storage Fld Int Base|,|4A|,|1|,|TORNADO|,|G50692490-000000|,|5001928257|,|142263-008|,|ASSY, CORD,AC,IEC-IEC,1.64FT|,|7WC/7WD|,|7WC|,|CN01|,|0|,|1|,|1|,||,|0|,|0|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:12|,|2017-05-09 00:17|,|7700485182|,|10|,|N9Y15A|,|H3C CF8820 2N Storage Fld Int Base|,|4A|,|1|,|TORNADO|,|G50692490-000000|,|5001928257|,|142263-013|,|CORD, PWR,AC LINE,C13-C14,0.7m,Gray|,|装配|,|7WC|,|CN01|,|0|,|1|,|1|,||,|0|,|0|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:12|,|2017-05-09 00:17|,|7700485182|,|10|,|N9Y15A|,|H3C CF8820 2N Storage Fld Int Base|,|4A|,|1|,|TORNADO|,|G50692490-000000|,|5001928257|,|5697-3706|,|Universal LTU Envelope With Window|,|包装|,|7W1|,|CN01|,|0|,|1|,|1|,||,|0|,|1|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:12|,|2017-05-09 00:17|,|7700485182|,|10|,|N9Y15A|,|H3C CF8820 2N Storage Fld Int Base|,|4A|,|1|,|TORNADO|,|G50692490-000000|,|5001928257|,|691970-003|,|CA, EXT, iPASS x4 HD to HD, 3.0, 2m|,|装配|,|7EB|,|CN01|,|0|,|2|,|2|,||,|0|,|2|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:12|,|2017-05-09 00:17|,|7700485182|,|10|,|N9Y15A|,|H3C CF8820 2N Storage Fld Int Base|,|4A|,|1|,|TORNADO|,|G50692490-000000|,|5001928257|,|793950-001|,|ASSY, 2U, RAIL KIT, TORNADO|,|装配|,|7GA|,|CN01|,|0|,|1|,|1|,||,|1|,|0|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:12|,|2017-05-09 00:17|,|7700485182|,|10|,|N9Y15A|,|H3C CF8820 2N Storage Fld Int Base|,|4A|,|1|,|TORNADO|,|G50692490-000000|,|5001928257|,|816845-002|,|H3C SRVC PROCESSOR ACCESSORY KIT DL120G9|,|装配|,|7UB|,|CN01|,|0|,|1|,|1|,||,|0|,|1|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:12|,|2017-05-09 00:17|,|7700485182|,|10|,|N9Y15A|,|H3C CF8820 2N Storage Fld Int Base|,|4A|,|1|,|TORNADO|,|G50692490-000000|,|5001928257|,|H6Z10A@@|,|HP 3PAR 8000 2-pt 10Gb iSCSI/FCoE Adptr|,||,|7ED|,|CN01|,|0|,|2|,|2|,||,|0|,|2|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:12|,|2017-05-09 00:17|,|7700485182|,|10|,|N9Y15A|,|H3C CF8820 2N Storage Fld Int Base|,|4A|,|1|,|TORNADO|,|G50692490-000000|,|5001928257|,|K2P97A@@|,|HP 3PAR 8000 300GB SAS 15K SFF HDD|,||,|7IC|,|CN01|,|0|,|8|,|8|,||,|0|,|8|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:12|,|2017-05-09 00:17|,|7700485182|,|10|,|N9Y15A|,|H3C CF8820 2N Storage Fld Int Base|,|4A|,|1|,|TORNADO|,|G50692490-000000|,|5001928257|,|N9Y13-63012|,|ASSY, 8820 ENCLOSURE, BULK-PACK|,||,|7ED|,|CN01|,|0|,|1|,|1|,||,|0|,|1|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:12|,|2017-05-09 00:17|,|7700485182|,|90|,|N9Y37A|,|H3C CF8800 LFF (3.5in) Fld Int Drv Encl|,|4A|,|1|,|TORNADO|,|G50692490-000000|,|5001928258|,|142263-008|,|ASSY, CORD,AC,IEC-IEC,1.64FT|,|7WC/7WD|,|7WC|,|CN01|,|0|,|1|,|1|,||,|0|,|0|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
